中心点的像素是：[97, 162, 190]
坐标位置为：[629,731]  [240, 241, 239]247.683
坐标位置为：[630,731]  [246, 243, 239]258.076
坐标位置为：[631,731]  [252, 249, 245]268.468
坐标位置为：[632,731]  [254, 252, 252]271.932
坐标位置为：[633,731]  [201, 204, 209]180.133
坐标位置为：[634,731]  [159, 167, 180]107.387
坐标位置为：[635,731]  [159, 169, 186]107.387
坐标位置为：[636,731]  [157, 167, 185]103.923
坐标位置为：[637,731]  [167, 161, 172]121.244
坐标位置为：[638,731]  [175, 139, 133]135.1
坐标位置为：[639,731]  [168, 118, 90]122.976
坐标位置为：[640,731]  [153, 106, 50]96.9948
坐标位置为：[641,731]  [189, 154, 88]159.349
坐标位置为：[642,731]  [255, 252, 194]273.664
坐标位置为：[643,731]  [255, 254, 190]273.664
坐标位置为：[644,731]  [244, 221, 129]254.611
坐标位置为：[645,731]  [209, 170, 66]193.99
坐标位置为：[646,731]  [210, 157, 53]195.722
坐标位置为：[647,731]  [209, 148, 44]193.99
坐标位置为：[648,731]  [211, 149, 43]197.454
坐标位置为：[649,731]  [212, 150, 42]199.186
坐标位置为：[650,731]  [208, 145, 35]192.258
坐标位置为：[651,731]  [209, 146, 34]193.99
坐标位置为：[652,731]  [213, 150, 38]200.918
坐标位置为：[653,731]  [209, 146, 34]193.99
坐标位置为：[654,731]  [208, 148, 35]192.258
坐标位置为：[655,731]  [211, 151, 38]197.454
坐标位置为：[656,731]  [211, 151, 38]197.454
坐标位置为：[657,731]  [208, 148, 35]192.258
坐标位置为：[658,731]  [206, 146, 33]188.794
坐标位置为：[659,731]  [208, 148, 35]192.258
坐标位置为：[660,731]  [209, 149, 36]193.99
坐标位置为：[661,731]  [209, 149, 35]193.99
坐标位置为：[662,731]  [211, 152, 36]197.454
坐标位置为：[663,731]  [211, 152, 36]197.454
坐标位置为：[664,731]  [213, 154, 38]200.918
坐标位置为：[665,731]  [216, 158, 39]206.114
坐标位置为：[666,731]  [214, 158, 39]202.65
坐标位置为：[667,731]  [214, 158, 39]202.65
坐标位置为：[668,731]  [215, 160, 39]204.382
坐标位置为：[669,731]  [217, 162, 41]207.846
坐标位置为：[670,731]  [219, 167, 43]211.31
坐标位置为：[671,731]  [221, 169, 45]214.774
坐标位置为：[672,731]  [220, 169, 43]213.042
坐标位置为：[673,731]  [221, 170, 44]214.774
坐标位置为：[674,731]  [222, 171, 45]216.506
坐标位置为：[675,731]  [224, 173, 47]219.97
坐标位置为：[676,731]  [228, 177, 50]226.899
坐标位置为：[677,731]  [227, 176, 50]225.167
坐标位置为：[678,731]  [224, 170, 46]219.97
坐标位置为：[679,731]  [216, 162, 38]206.114
坐标位置为：[680,731]  [210, 155, 34]195.722
坐标位置为：[681,731]  [212, 157, 36]199.186
坐标位置为：[682,731]  [215, 160, 39]204.382
坐标位置为：[683,731]  [216, 161, 40]206.114
坐标位置为：[684,731]  [217, 162, 41]207.846
坐标位置为：[685,731]  [217, 162, 41]207.846
坐标位置为：[686,731]  [217, 162, 41]207.846
